name,tech,cat,size,Latitude,Longitude,state_abbr,unit,size_perc,size_perc_scurve
Pulsant,Colocation Datacenter,Datacenter,0.66,51.50035,-0.70836,NA,MW,7.176729293627365e-4,0.4155754666095678
Pulsant,Colocation Datacenter,Datacenter,0.33,54.9729,-1.60318,NA,MW,3.584772690210266e-4,0.33446925260026933
iomart,Self-build Datacenter,Datacenter,0.627,52.64038,-1.14045,NA,MW,6.817533633285656e-4,0.4139151427193124
atNorth,Colocation Datacenter,Datacenter,77.88000000000001,63.96375,-22.5363,NA,MW,0.08476945744932288,0.8494710335066711
Global Switch,Colocation Datacenter,Datacenter,11.88,48.89964,2.2961,NA,MW,0.012930325380980877,0.6991736673911049
Digital Realty,Colocation Datacenter,Datacenter,8.58,52.2905462463453,4.67670087059346,NA,MW,0.009338368777563777,0.6715931398612669
Aruba.it,Colocation Datacenter,Datacenter,0.66,43.476738,11.85013,NA,MW,7.176729293627365e-4,0.4155754666095678
Global Switch,Colocation Datacenter,Datacenter,15.84,52.3443104427929,4.8302568773453904,NA,MW,0.017240673305081396,0.7248045581963534
Digital Realty,Colocation Datacenter,Datacenter,3.036,53.412261,-6.370546,NA,MW,0.0033038816838230484,0.5813737134421796
Global Switch,Colocation Datacenter,Datacenter,7.92,50.12985,8.59824,NA,MW,0.008619977456880357,0.66263248323203
EdgeConneX,Colocation Datacenter,Datacenter,4.62,52.28402,4.76597,NA,MW,0.005028020853463257,0.6168196233655726
Digital Realty,Colocation Datacenter,Datacenter,4.422000000000001,52.336746,4.931737,NA,MW,0.0048125034572582305,0.6138016660085016
iomart,Colocation Datacenter,Datacenter,1.8183,51.52869,-0.72528,NA,MW,0.0019784496971621385,0.5351850862283731
Etix Everywhere,Colocation Datacenter,Datacenter,0.198,46.5154735107713,-1.74797220224899,NA,MW,2.1479900488434258e-4,0.2853188752906802
Global Switch,Colocation Datacenter,Datacenter,12.342,48.90077,2.29446,NA,MW,0.013433199305459269,0.706009069921526
KDDI Telehouse,Colocation Datacenter,Datacenter,0.66,48.869898,2.344319,NA,MW,7.176729293627365e-4,0.4155754666095678
KDDI Telehouse,Colocation Datacenter,Datacenter,19.14,48.725908,2.078193,NA,MW,0.020832629908498497,0.7400461339198185
iomart,Self-build Datacenter,Datacenter,0.4752,53.2524328864589,-3.47853930325152,NA,MW,5.165233595713789e-4,0.3947095483879246
Digital Realty,Colocation Datacenter,Datacenter,5.913600000000001,50.08158,8.62337,NA,MW,0.006436067842002761,0.6343370999388145
KDDI Telehouse,Colocation Datacenter,Datacenter,3.96,48.856179,2.384246,NA,MW,0.0043096295327798365,0.6014333584057593
Digital Realty,Colocation Datacenter,Datacenter,3.96,51.127653,-0.175959,NA,MW,0.0043096295327798365,0.6014333584057593
Digital Realty,Colocation Datacenter,Datacenter,30.887999999999998,53.313859,-6.442172,NA,MW,0.03361999541666337,0.7796057568552335
iomart,Self-build Datacenter,Datacenter,0.264,52.95086,-1.13936,NA,MW,2.8663813695268463e-4,0.315989724875794
Proximity Data Centres,Colocation Datacenter,Datacenter,3.96,52.477955,-1.877827,NA,MW,0.0043096295327798365,0.6014333584057593
Ark Data Centres,Colocation Datacenter,Datacenter,33.726,51.2824408159385,-0.794505570192285,NA,MW,0.03670907809560208,0.7902562299204415
Digital Realty,Colocation Datacenter,Datacenter,21.78,50.12754,8.58428,NA,MW,0.02370619519123218,0.7529529397232753
Teknotel Telekom,Colocation Datacenter,Datacenter,0.792,40.975463,29.098072,NA,MW,8.613511934994207e-4,0.45478548622291065
6 Degrees,Colocation Datacenter,Datacenter,1.98,52.27887,-1.89549,NA,MW,0.002154455570729577,0.5378026804166678
Aruba.it,Colocation Datacenter,Datacenter,0.66,48.916644,14.13208,NA,MW,7.176729293627365e-4,0.4155754666095678
iomart,Self-build Datacenter,Datacenter,0.66,51.52284,-0.08465,NA,MW,7.176729293627365e-4,0.4155754666095678
Gulf Data Hub,Colocation Datacenter,Datacenter,46.332,25.11786,55.38222,NA,MW,0.0504303523206554,0.8066493546977002
KDDI Telehouse,Colocation Datacenter,Datacenter,23.496000000000002,50.09608,8.62968,NA,MW,0.025574012625009072,0.7564648833106674
Aruba.it,Colocation Datacenter,Datacenter,1.32,43.45985,11.838041,NA,MW,0.0014360642500461567,0.49707249917727087
Etix Everywhere,Colocation Datacenter,Datacenter,0.23099999999999998,47.2313902460213,-1.63102338694358,NA,MW,2.5071857091851356e-4,0.3101542499938824
Brightsolid,Self-build Datacenter,Datacenter,1.32,57.152589999999996,-2.16031,NA,MW,0.0014360642500461567,0.49707249917727087
atNorth,Colocation Datacenter,Datacenter,2.112,64.04955,-21.99358,NA,MW,0.0022981338348662607,0.5517184480891771
DC Vaults,Colocation Datacenter,Datacenter,0.5676,24.19113,54.47057,NA,MW,6.170981444670577e-4,0.4087702872064242
iomart,Self-build Datacenter,Datacenter,0.495,55.8511315206373,-4.28365451069699,NA,MW,5.380750991918815e-4,0.3964431014066308
KDDI Telehouse,Colocation Datacenter,Datacenter,0.66,51.522295,-0.08345,NA,MW,7.176729293627365e-4,0.4155754666095678
EdgeConneX,Colocation Datacenter,Datacenter,11.88,53.32714,-6.45399,NA,MW,0.012930325380980877,0.6991736673911049
Aptum,Colocation Datacenter,Datacenter,2.64,50.846584,-0.989771,NA,MW,0.002872846891412997,0.5631704731174867
Aruba.it,Colocation Datacenter,Datacenter,32.34,45.7069982477495,9.58848732662784,NA,MW,0.0352004563221669,0.7846823875600722
Oman Data Park,Colocation Datacenter,Datacenter,0.66,23.6129163022983,58.5036282954517,NA,MW,7.176729293627365e-4,0.4155754666095678
iomart,Self-build Datacenter,Datacenter,0.46199999999999997,50.82513,-1.16289,NA,MW,5.021555331577106e-4,0.3902747392171655
Brightsolid,Self-build Datacenter,Datacenter,0.33,56.46394,-3.05479,NA,MW,3.584772690210266e-4,0.33446925260026933
Digital Realty,Colocation Datacenter,Datacenter,5.94,52.35719,4.950896,NA,MW,0.006464803494830097,0.6344822178279486
Global Switch,Colocation Datacenter,Datacenter,7.260000000000001,40.44796,-3.57463,NA,MW,0.007901586136196938,0.6588171395044857
Cellnex Telecom,Colocation Datacenter,Datacenter,0.33,51.176807,5.835275,NA,MW,3.584772690210266e-4,0.33446925260026933
Iron Mountain,Colocation Datacenter,Datacenter,6.996,50.195247,8.639782,NA,MW,0.007614229607923569,0.6580290905793291
AtlasEdge Data Centres,Colocation Datacenter,Datacenter,1.98,53.619829,10.001886,NA,MW,0.002154455570729577,0.5378026804166678
Luxconnect,Colocation Datacenter,Datacenter,1.98,49.5052544651482,6.1132486558898,NA,MW,0.002154455570729577,0.5378026804166678
Africa Data Centres,Colocation Datacenter,Datacenter,5.94,-34.038599,18.478112,NA,MW,0.006464803494830097,0.6344822178279486
AtlasEdge Data Centres,Colocation Datacenter,Datacenter,0.48972000000000004,52.32816,4.92593,NA,MW,5.323279686264142e-4,0.39631001425831314
Cellnex Telecom,Colocation Datacenter,Datacenter,0.23099999999999998,52.903000631069,6.40322428229367,NA,MW,2.5071857091851356e-4,0.3101542499938824
Cellnex Telecom,Colocation Datacenter,Datacenter,0.627,52.080702,4.335528,NA,MW,6.817533633285656e-4,0.4139151427193124
Kao Data,Colocation Datacenter,Datacenter,115.632,51.769163,0.129158,NA,MW,0.1258614409924145,0.8799664188351313
