State,City/Town,County,Feature Type,Value Type,Value,Citation,Comment,Updated Type,Updated Value,Updated Comment,Ordinance Year,Original Captured Date,New Capture Date,Update Status
Florida ,,Hillsborough ,Roads,Meters,30.48,Hillsborough Land Development Code з 6.11.125,100' setbacks from public ROW ,,,,,2021,,
Florida ,,Jefferson,Highway,Meters,30.48,Jefferson County Land Development Code з 2.11.4,100' setbacks from major highways  ,,,,,2021,,
Florida ,,Jefferson,Roads,Meters,30.48,Jefferson County Land Development Code з 2.11.4,100; setback from public roads ,,,,,2021,,
Florida ,,Jefferson,Property Line,Meters,30.48,Jefferson County Land Development Code з 2.11.4,100' landscape buffer from vacant or nonresidential parcels,,,,,2021,,
Florida ,,Jefferson,Property Line,Meters,60.96,Jefferson County Land Development Code з 2.11.4,200' landscape buffer for residential parcels ,,,,,2021,,
Florida ,,Leon,Property Line,Meters ,22.86/60.96,Leon County Land Development Code з 10-6.820,"75' setback if facility is less than 50 acres, 200' if greater than 50 acres ",,,,,2021,,
Florida ,,Leon,Roads,Meters,22.86/60.96,Leon County Land Development Code з 10-6.820,See above,,,,,2021,,
Florida ,,Leon,Structures,Meters,22.86/60.96,Leon County Land Development Code з 10-6.820,See above,,,,,2021,,
Florida ,,Manatee,Property Line,Meters,15.24,Manatee County Land Dev. Code з 531.54,50' setback,,,,,2021,,
Forida,,Manatee,Height,Meters,4.5,Manatee County Land Dev. Code з 531.54,15' height max,,,,,2021,,
Florida ,,Martin ,Property Line,Meters,15.24,Martin County Land Dev. Regs. з 3.100.1,50' setback,,,,,2021,,
Florida,,Martin ,Height,Meters,4.5,Martin County Land Dev. Regs. з 3.100.1,15' height max,,,,,2021,,
Florida ,,Orange,Property Line,Meters,60.96,Orange County Code з 38-79(50) ,200' setback from residential uses ,,,,,2021,,
Florida ,,Palm Beach ,Property Line,Meters,7.62/5,Palm Beach Unified Development Land Code з 7(C)(8),25 foot setback if lot size is greater than 50 Acres/15' if less than 50 acres,,,,,2021,,
Florida,,Palm Beach ,Roads,Meters,24.384,Palm Beach Unified Development Land Code з 7(C)(8),80' Setback to ROW,,,,,2021,,
Florida ,,Polk,Property Line,Meters,15.24,Polk County Ord. 11-033,50' setback,,,,,2021,,
Florida ,,St. Lucie ,Property Line,Meters,15.24,St. Lucie County Land Dev. Code з 7.10.28,,,,,,2021,,
Florida ,,St. Lucie ,Height,Meters,3.048,St. Lucie County Land Dev. Code з 7.10.28,10' height ,,,,,2021,,
Florida,,Wakulla,Property Line,Meters,15.24,Wakulla County Code з 6-35 ,50' setback,,,,,2021,,
Florida,,Wakulla ,Height,Meters,4.5,Wakulla County Code з 6-35 ,15' height  ,,,,,2021,,
Georgia,,Baldwin,Height,Meters,5.4864,Baldwin County Code of Ordinances з17-23,,,,,,,,
Georgia,,Baldwin,Structures,Meters,91.44,Baldwin County Code of Ordinances з17-23,,,,,,,,
Georgia,,Baldwin,Property Line,Meters,91.44,Baldwin County Code of Ordinances з17-23,,,,,,,,
Georgia,,Baldwin,Roads,Meters,30.48,Baldwin County Code of Ordinances з17-23,,,,,,,,
Georgia,,Bartow,Property Line,Meters,15.24,Bartow County Zoning Ordinance Art. VII з 7.1.9,,,,,,,,
Georgia,,Bryan ,Minimum Lot Size,Acres,25,Bryan County Unified Development Ordinance з 114-742,,,,,,,,
Georgia,,Bryan ,Height,Meters,3.048,Bryan County Unified Development Ordinance з 114-742,,,,,,,,
Georgia,,Bryan ,Sound,dBA,50,Bryan County Unified Development Ordinance з 114-742,,,,,,,,
Georgia,,Bryan ,Roads,Meters,30.48,Bryan County Unified Development Ordinance з 114-742,,,,,,,,
Georgia,,Bryan ,Structures,Meters,60.96,Bryan County Unified Development Ordinance з 114-742,,,,,,,,
Georgia,,Burke ,Minimum Lot Size,Acres,5,Burke County Code of Ordinances Part II з26-4.03.26,,,,,,,,
Georgia,,Burke ,Roads,Meters,45.72,Burke County Code of Ordinances Part II з26-4.03.26,,,,,,,,
Georgia,,Burke ,Property Line,Meters,30.48,Burke County Code of Ordinances Part II з26-4.03.26,,,,,,,,
Georgia,,Burke ,Structures,Meters,91.44,Burke County Code of Ordinances Part II з26-4.03.26,,,,,,,,
Georgia,,Catoosa ,Minimum Lot Size,Acres,5,Catoosa County Code of Ordinances з4.09.38,,,,,,,,
Georgia,,Dawson,Minimum Lot Size,Acres,5,Land Use Resolution of Dawson County з 318 ,,,,,,,,
Georgia,,Dawson,Height,Meters,6.096,Land Use Resolution of Dawson County з 318 ,,,,,,,,
Georgia,,Decatur,Property Line,Meters,4.572,Decatur County Solar Energy Systems Regulations з1.04 ,,,,,,,,
Georgia,,Decatur,Structures,Meters,30.48,Decatur County Solar Energy Systems Regulations з1.04 ,,,,,,,,
Georgia,,Decatur,Noise ,dBA,40,Decatur County Solar Energy Systems Regulations з1.04 ,,,,,,,,
Georgia,,Decatur,Height,Meters,7.62,Decatur County Solar Energy Systems Regulations з1.04 ,,,,,,,,
Georgia,,Evans,Minimum Lot Size,Acres,10,Evans County Solar Collection Facility Ordinance з 3,,,,,,,,
Georgia,,Evans,Height,Meters,6.096,Evans County Solar Collection Facility Ordinance з 3,,,,,,,,
Georgia,,Evans,Property Line,Meters,15.24,Evans County Solar Collection Facility Ordinance з 3,,,,,,,,
Georgia,,Greene,Minimum Lot Size,Acres,25,Greene County Code of Ordinances з 9.22,,,,,,,,
Georgia,,Greene,Structures,Meters,152.4,Greene County Code of Ordinances з 9.22,,,,,,,,
Georgia,,Greene,Property Line,Meters,106.68,Greene County Code of Ordinances з 9.22,,,,,,,,
Georgia,,Haralson,Property Line,Meters,22.86,Haralson County Code of Ordinance з 50-115,,,,,,,,
Georgia,,Heard,Structures,Meters,30.48,Heard County Code of Ordinances з 46-273,,,,,,,,
Georgia,,Heard,Property Line,Meters,15.24,Heard County Code of Ordinances з 46-273,,,,,,,,
Georgia,,Heard,Height,Meters,7.62,Heard County Code of Ordinances з 46-273,,,,,,,,
Georgia,,Heard,Sound,dBA,40,Heard County Code of Ordinances з 46-273,,,,,,,,
Georgia,,Jackson,Property Line,Meters,15.24,Jackson County Code of Ordinances з3-118,,,,,,,,
Georgia,,Jackson,Structures,Meters,30.48,Jackson County Code of Ordinances з3-118,,,,,,,,
Georgia,,Jackson,Height,Meters,7.62,Jackson County Code of Ordinances з 3-118,,,,,,,,
Georgia,,Jefferson,Minimum Lot Size,Acres,3,Jefferson County Code of Ordinances з 20-1100,,,,,,,,
Georgia,,Jefferson,Structures,Meters,15.24,Jefferson County Code of Ordinances з 20-1100,,,,,,,,
Georgia,,Jefferson,Roads,Meters,19.812,Jefferson County Code of Ordinances з 20-1100,,,,,,,,
Georgia,,Jefferson,Height,Meters,7.62,Jefferson County Code of Ordinances з 20-1100,,,,,,,,
Georgia,,Jefferson,Sound,dBA,40,Jefferson County Code of Ordinances  з 20-1100,,,,,,,,
,,Lee,Structures,Meters,30.48,Lee County Code of Ordinances з 70-694,,,,,,,,
Georgia,,Lee,Property Line,Meters,7.62,Lee County Code of Ordinances з 70-694,,,,,,,,
Georgia,,Liberty,Structures,Meters,30.48,Liberty County Code of Ordinances з 13.4,,,,,,,,
Georgia,,Liberty,Property Line,Meters,4.572,Liberty County Code of Ordinances з 13.4,,,,,,,,
Georgia,,Liberty,Roads,Meters,6.096,Liberty County Code of Ordinances з 13.4,,,,,,,,
Georgia,,Long,Height,Meters,6.096,Long County Code of Ordinances з 110-293,,,,,,,,
Georgia,,McDuffie,Maximum Lot Size,Acres,25,McDuffie County Code of Ordinances з 44-233,,,,,,,,
Georgia,,McDuffie,Height,Meters,6.096,McDuffie County Code of Ordinances з 44-233,,,,,,,,
Georgia,,Oconee,Structures,Meters,30.48,Oconee County Code of Ordinances з 343.05,,,,,,,,
Georgia,,Oconee,Property Line,Meters,15.24,Oconee County Code of Ordinances з 343.05,,,,,,,,
Georgia,,Oconee,Height,Meters,7.62,Oconee County Code of Ordinances з 343.05,,,,,,,,
Georgia,,Oglethorpe,Property Line,Meters,6.096,Oglthorpe County Unified Development Code з 712,,,,,,,,
Georgia,,Pulaski,Height,Meters,6.096,Pulaski County Code of Ordinances з 53-5,,,,,,,,
Georgia,,Pulaski,Property Line,Meters,15.24,Pulaski County Code of Ordinances з 53-5,,,,,,,,
Georgia,,Pulaski,Structures,Meters,45.72,Pulaski County Code of Ordinances з 53-5,,,,,,,,
Georgia,,Thomas,Structures,Meters,152.4,Thomas County Code of Ordinances з 3.269 ,,,,,,,,
Georgia,,Thomas,Property Line,Meters,30.48,Thomas County Code of Ordinances з 3.269 ,,,,,,,,
Illinois,,Adams,Property Line,Meters,15.24,Adams County Code Ord. з 5-7-3(b),50' Setback  ,,,,,2021,,
Illinois,,Adams,Roads,Meters,7.62,Adams County Code Ord. з 5-7-3(b),25' setback from public road,,,,,2021,,
Illinois,,Adams ,Height,Meters,10,Adams County Code Ord. з 5-7-3(c),30' Max Height ,,,,,2021,,
Illinois,,Carroll,Height,Meters,10,Carroll County Code з 725.1(e),,,,,,2021,,
Illinois,,Carroll,Roads,Meters,18.2,Carroll County Code з 725.1(f),,,,,,2021,,
Illinois,,Carroll,Highway,Meters,30.48,Carroll County Code з 725.1(f),,,,,,2021,,
Illinois,,Carroll,Property Line,Meters,6,Carroll County Code з 725.1(f),20 foot setback unless next to residential zone in which case 100' setback is required ,,,,,2021,,
Illinois,,Champaign,Roads,Meters,18.2,Champaign County Zoning Ord. 6.1.5(D),,,,,,2021,,
Illinois,,Champaign,Property Line,Meters,73,Champaign County Zoning Ord. 6.1.5(D),240' setback to property line ,,,,,2021,,
Illinois,,Christian ,Structures,Meters,15.24,Christian County Ord. 02017-ZN-012,50' setback to residence or church ,,,,,2021,,
Illinois,,Clinton,Height,Meters,5.4,Clinton County Code з 40-5-23(D),18' max height ,,,,,2021,,
Illinois,,Clinton,Structures,Meters,229,Clinton County Code з 40-5-23(D),750' setback to nonparticipating residences ,,,,,2021,,
Illinois,,Clinton,Property Line,Meters,30.48,Clinton County Code з 40-5-23(D),100' setback to lot lines ,,,,,2021,,
Illinois,,Clinton,Roads,Meters,60.96,Clinton County Code з 40-5-23(D),200' setback,,,,,2021,,
Illinois,,Clinton ,Highway,Meters,60.96,Clinton County Code з 40-5-23(D),,,,,,2021,,
Illinois,,DeKalb,Property Line,Meters,30.48,DeKalb County Ord. 2018-06,,,,,,2021,,
Illinois,,DeKalb,Roads,Meters,30.48,DeKalb County Ord. 2018-06,,,,,,2021,,
Illinois,,DeWitt,Height,Meters,6,DeWitt County Code з 157.08(A),,,,,,2021,,
Illinois,,DeWitt,Structures,Meters,152,Dewitt County Code з 157.08(A),500' setback from existing residences ,,,,,2021,,
Illinois,,DeWitt,Property Line,Meters,30.48,DeWitt County Code з 157.08(A),,,,,,2021,,
Illinois,,Fayette,Property Line,Meters,15.2,Fayette County Ord. 2018-06-12-B,,,,,,2021,,
Illinois,,Fayette,Roads,Meters,15.2,Fayette County Ord. 2018-06-12-B,,,,,,2021,,
Illinois,,Grundy,Height,Meters,6,Grundy County Code з 8-2-5-30(E),20' height ,,,,,2021,,
Illinois,,Grundy,Structures,Meters ,45.72,Grundy County Code з 8-2-5-30(E),,,,,,2021,,
Illinois,,Grundy,Roads,Meters,45.72,Grundy County Code з 8-2-5-30(E),,,,,,2021,,
Illinois,,Hamilton,Height,Meters,4.5,"Hamilton County Ord, 01-2021(C)(9)",15' Max height ,,,,,2021,,
Illinois,,Hamilton,Structures,Meters,152,"Hamilton County Ord, 01-2021(F)(1)(f)",,,,,,2021,,
Illinois,,Hamilton,Property Line,Meters,9.1,"Hamilton County Ord, 01-2021(F)(1)(f)",,,,,,2021,,
Illinois,,Hamilton,Roads,Meters,18.2,"Hamilton County Ord, 01-2021(F)(1)(f)",60' setback to roads ,,,,,2021,,
Illinois,,Henry ,Structures,Meters,45.72,Henry County Zoning Ord. з 3.07(C),150' Setback to offsite residences ,,,,,2021,,
Illinois,,Henry ,Height,Meters,6,Henry County Zoning Ord. з 3.07(C),20' Max height ,,,,,2021,,
Illinois,,Henry ,Property Line,Meters,15.24,Henry County Zoning Ord. з 3.07(C),50' Setback  ,,,,,2021,,
Illinois,,Iroquois ,Height ,Meters,9.1,Iroquois County Solar Ord. з 2(A)(b)(5),30' Max Height ,,,,,2021,,
Illinois,,Iroquois ,Roads,Meters,24.34,Iroquois County Solar Ord. з 2(A)(b)(5),80' Setback to centerline,,,,,2021,,
Illinois,,Iroquois ,Structures,Meters,45.72,Iroquois County Solar Ord. з 2(A)(b)(5),150' setback to offsite residences ,,,,,2021,,
Illinois,,Iroquois ,Property Line,Meters,6,Iroquois County Solar Ord. з 2(A)(b)(5),20' setback to property line ,,,,,2021,,
Illinois,,Jersey,Property Line,Meters,22.86,Jersey County Ord. 01-19 з 3,75' setback,,,,,2021,,
Illinois,,Jersey,Structures,Meters,91.44,Jersey County Ord. 01-19 з 3,,,,,,2021,,
Illinois,,Kankakee,Height,Meters,9.1,Kankakee County Code з 121-99(b)(34),,,,,,2021,,
Illinois,,Kankakee,Structures,Meters,30.48,Kankakee County Code з 121-99(b)(34),,,,,,2021,,
Illinois,,Kankakee,Property Line,Meters,15.24,Kankakee County Code з 121-99(b)(34),,,,,,2021,,
Illinois,,Kankakee,Roads,Meters,30.48,Kankakee County Code з 121-99(b)(34),,,,,,2021,,
Illinois,,Knox,Height,Meters,6,Knox County Solar Ord. ,,,,,,2021,,
Illinois,,Knox,Structures,Meters,152,Knox County Solar Ord. ,500' setback from existing residences ,,,,,2021,,
Illinois,,Lake,Height,Meters,3,Lake County Code з 151.112(vv),,,,,,2021,,
Illinois,,Livingston,Height,Meters,10,Livingston County Code з 56-646(e),,,,,,2021,,
Illinois,,Livingston,Structures,Meters,30.48,Livingston County Code з 56-646(f),,,,,,2021,,
Illinois,,Livingston,Property Line,Meters,15.24,Livingston County Code з 56-646(f),,,,,,2021,,
Illinois,,Logan,Height,Meters,4.5,Logan County Solar Zoning Ord. ,,,,,,2021,,
Illinois,,Logan,Property Line,Meters,9.1,Logan County Solar Zoning Ord. ,,,,,,2021,,
Illinois,,Logan,Structures,Meters,152,Logan County Solar Zoning Ord. ,,,,,,2021,,
Illinois,,Logan,Roads,Meters,18.2,Logan County Solar Zoning Ord. ,,,,,,2021,,
Illinois,,Macon,Height,Meters,6,Macon County Code з 155.185(4),,,,,,2021,,
Illinois,,Macon,Structures,Meters,152,Macon County Code з 155.185(5),,,,,,2021,,
Illinois,,Macon,Property Line,Meters,15.24,Macon County Code з 155.185(5),,,,,,2021,,
Illinois,,McHenry,Property Line,Meters,15.24,McHenry County Zoning Ord. з 14.3.PP,,,,,,2021,,
Illinois,,McLean,Property Line,Meters,15.24,McLean County Code з 350-43(OO)(3)(a),,,,,,2021,,
Illinois,,Menard,Property Line,Meters,15.24,Menard County Solar Ord. з 5.01 ,,,,,,2021,,
Illinois,,Menard,Structures,Meters,152,Menard County Solar Ord. з 5.01 ,500' setback from existing residences ,,,,,2021,,
Illinois,,Mercer,Structures,Meters,15.24,Mercer County Zoning Ord. з 20.6.02,50' setback from residence or church,,,,,2021,,
Illinois,,Monroe,Structures,Meters,30.48,Monroe County Ord. 18-05 з 2(E),,,,,,2021,,
Illinois,,Monroe,Height,Meters,4.8,Monroe County Ord. 18-05 з 2(M),16' max height,,,,,2021,,
Illinois,,Monroe,Property Line,Meters,15.24,Monroe County Ord. 18-05 з 2(E),,,,,,2021,,
Illinois,,Montgomery,Property Line,Meters,9.1,Montgomery County Ord. 3-12-19 з F(2)(f),,,,,,2021,,
Illinois,,Montgomery,Roads,Meters,18.2,Montgomery County Ord. 3-12-19 з F(2)(f),,,,,,2021,,
Illinois,,Montgomery,Structures,Meters,152,Montgomery County Ord. 3-12-19 з F(2)(f),500' setback from existing residences ,,,,,2021,,
Illinois,,Moultrie,Height,Meters,6,Moultrie County Zoning Ord. з 5.3(31)(A)(5),,,,,,2021,,
Illinois,,Moultrie,Property Line,Meters,30.48,Moultrie County Zoning Ord. з 5.3(31)(A)(6),,,,,,2021,,
Illinois,,Peoria,Structures,Meters,22.86,Peoria County Code з 7.17.3(1)(c),75' setback to residences ,,,,,2021,,
Illinois,,Piatt,Property Line,Meters,30.48,Piatt County Zoning Ord. Art. X(2)(a),,,,,,2021,,
Illinois,,Putnam,Height,Meters,9.1,Putnam County Zoning Ord. з 14.11(C),,,,,,2021,,
Illinois,,Putnam,Roads,Meters,18.2,Putnam County Zoning Ord. з 3.12,,,,,,2021,,
Illinois,,Putnam,Highway,Meters,15.24,Putnam County Zoning Ord. з 3.12,,,,,,2021,,
Illinois,,Randolph ,Property Line,Meters,15.24,Randolph County Ord. 18-06 з 7(6),,,,,,2021,,
Illinois,,Randolph ,Structures,Meters,152,Randolph County Ord. 18-06 з 7(6),,,,,,2021,,
Illinois,,St. Clair,Height,Meters,5.4,St. Clair County Code з 40-5-30(C)(3),,,,,,2021,,
Illinois,,St. Clair,Property Line,Meters,15.24,St. Clair County Code з 40-5-30(C)(3),,,,,,2021,,
Illinois,,Sangamon,Height,Meters,5.4,Sangamon County Code з 17.37.030(C),,,,,,2021,,
Illinois,,Sangamon,Property Line,Meters,15.24,Sangamon County Code з 17.37.030(C),,,,,,2021,,
Illinois,,Sangamon,Structures,Meters,76.2,Sangamon County Code з 17.37.030(C),250' setback from existing residences ,,,,,2021,,
Illinois,,Stark,Height,Meters,5.4,Stark County Zoning Ord. з 35.01,,,,,,2021,,
Illinois,,Stark,Property Line,Meters,15.24,Stark County Zoning Ord. з 36.03,,,,,,2021,,
Illinois,,Stark,Structures,Meters,91.44,Stark County Zoning Ord. з 36.03,300' Setback from existing residences ,,,,,2021,,
Illinois,,Stephenson,Property Line,Meters,15.24,Stephenson County Code з 400-23.3(A)(1),,,,,,2021,,
Illinois,,Stephenson,Structures,Meters,60.96,Stephenson County Code з 400-23.3(A)(1),200' Setback from residential structures ,,,,,2021,,
Illinois,,Tazewell,Property Line,Meters,15.24,Tazewell County Code з 156.06(B)(6),,,,,,2021,,
Illinois,,Tazewell,Structures,Meters,30.48,Tazewell County Code з 156.06(B)(6),,,,,,2021,,
Illinois,,Whiteside,Property Line,Meters,15.24,Whiteside County Code з 39-268(e)(2)(h),,,,,,2021,,
Illinois,,Whiteside,Structures,Meters,152,Whiteside County Code з 39-268(e)(2)(h),,,,,,2021,,
Illinois,,Will,Height,Meters,7.62,Will County Code з 155-9.245,25' max height ,,,,,2021,,
Illinois,,Will,Property Line,Meters,7.62,Will County Code з 155-9.245,,,,,,2021,,
Illinois,,Winnebago,Property Line,Meters,15.24,Winnebago County Code з 15.3.28(A),,,,,,2021,,
Illinois,,Woodford,Height,Meters,5.4,Woodford County Ord. з 154.30.3(C),,,,,,2021,,
Illinois,,Woodford,Property Line,Meters,15.24,Woodford County Ord. з 154.30.3(C),,,,,,2021,,
Illinois,,Woodford,Structures,Meters,152,Woodford County Ord. з 154.30.3(C),,,,,,2021,,
Indiana,,Clinton,Property Line,Meters,15.24,Clinton County Ord. з406.02,,,,,,2022,,
Indiana,,Clinton,Structures,Meters,60.96,Clinton County Ord. з406.02,,,,,,2022,,
Indiana,,Clinton,Height,Meters,6.096,Clinton County Ord. з406.02,,,,,,,,
Indiana,,Blackford,Minimum Lot Size ,Acres,10,Blackford County Zoning Ordinance Art 11  Sec 1105,,,,,,,,
Indiana,,Blackford,Property Line,Meters,15.24,Blackford County Zoning Ordinance Art 11  Sec 1105,,,,,,,,
Indiana,,Blackford,Roads,Meters,15.24,Blackford County Zoning Ordinance Art 11  Sec 1105,,,,,,,,
Indiana,,Blackford,Structures,Meters,91.44,Blackford County Zoning Ordinance Art 11  Sec 1105,,,,,,,,
Indiana,,Clinton,Property Line,Meters,15.24,Clinton County Ord. з406.02,,,,,,,,
Indiana,,Clinton,Structures,Meters,60.96,Clinton County Ord. з406.02,,,,,,,,
Indiana,,Clinton,Height,Meters,6.096,Clinton County Ord. з406.02,,,,,,,,
Indiana,,DeKalb,Structures,Meters,121.92,DeKalb County Ordinance з 3.13,,,,,,,,
Indiana,,DeKalb,Sound,dBA,50,DeKalb County Ordinance з 3.13,,,,,,,,
Indiana,,DeKalb,Height,Meters,5.49,DeKalb County Ordinance з 3.13,,,,,,,,
Indiana,,Dearborne,Height,Meters,6.096,Dearborne County Ordinance Art. 19,,,,,,,,
Indiana,,Dearborne,Property Line,Meters,45.72,Dearborne County Ordinance Art. 19,,,,,,,,
Indiana,,Dearborne,Structures,Meters,60.96,Dearborne County Ordinance Art. 19,,,,,,,,
Indiana,,Decatur,Sound,dBA,50,Decatur Zoning Ordinance Art 20 Solar Facilities ,,,,,,,,
Indiana,,Delaware,Height,Meters,6.096,Delware County Code of Ordinances,,,,,,,,
Indiana,,Delaware,Roads,Meters,15.24,Delware County Code of Ordinances,,,,,,,,
Indiana,,Delaware,Property Line,Meters,15.24,Delware County Code of Ordinances,,,,,,,,
Indiana,,Delaware,Structures,Meters,76.2,Delware County Code of Ordinances,,,,,,,,
Indiana,,Delaware,Sound,dBA,60,Delware County Code of Ordinances,,,,,,,,
Indiana,,Franklin,Height,Meters,6.096,Franklin County Code of Ordinances з 80.06.06,,,,,,,,
Indiana,,Franklin,Sound,dBA,50,Franklin County Code of Ordinances з 80.06.06,,,,,,,,
Indiana,,Franklin,Road,Meters,42.67,Franklin County Code of Ordinances з 80.06.06,,,,,,,,
Indiana,,Franklin,Minimum Lot Size,Acres,5,Franklin County Code of Ordinances з 80.06.06,,,,,,,,
Indiana,,Franklin,Property Line,Meters,30.48,Franklin County Code of Ordinances з 80.06.06,,,,,,,,
Indiana,,Gibson,Height,Meters,7.62,Gibson County Ordinance # 2021-03 Solar Energy,,,,,,,,
Indiana,,Gibson,Property Line,Meters,7.62,Gibson County Ordinance # 2021-03 Solar Energy,,,,,,,,
Indiana,,Gibson,Structures,Meters,45.72,Gibson County Ordinance # 2021-03 Solar Energy,,,,,,,,
Indiana,,Howard,Roads,Meters,15.24,Howard County Zoning Ordinance ,,,,,,,,
