Company,"City, State",City,State,LAT,LON,Project Type,Category,Technology,Source,Source for table,Project Size (text),Project Size ($),Total Jobs Expected,Facility Jobs,Construction Jobs,Grants,Loans,Status
Mersen USA,"Bay City, MI",Bay City,MI,43.7944677,-83.6888648,Expansion,Materials,,https://www.michiganbusiness.org/press-releases/2023/06/mersen/,[Source](https://www.michiganbusiness.org/press-releases/2023/06/mersen/),$70 million,"$70,000,000 ",80,80,,,,
Mersen USA,"Greenville, MI",Greenville,MI,43.1775314,-85.2527987,Expansion,Materials,,https://www.michiganbusiness.org/press-releases/2023/06/mersen/,[Source](https://www.michiganbusiness.org/press-releases/2023/06/mersen/),$10 million,"$10,000,000 ",35,35,,,,
SK Siltron CSS,"Bay City, MI",Bay City,MI,43.5944677,-83.8888648,Expansion,Materials,,https://www.michigan.gov/whitmer/news/press-releases/2022/09/01/whitmer-and-sk-siltron-bring-semiconductor-supply-chain-to-michigan-with-new-bay-city-facility ,[Source](https://www.michigan.gov/whitmer/news/press-releases/2022/09/01/whitmer-and-sk-siltron-bring-semiconductor-supply-chain-to-michigan-with-new-bay-city-facility ),$300 million,"$300,000,000 ",150,150,,,,
Polar,"Bloomington, MN",Bloomington,MN,44.8322405,-93.3204872,Expansion/Modernization,Semiconductors,Sensor and power chips,https://www.nist.gov/chips/polar-semiconductor-minnesota-bloomington,[Source](https://www.nist.gov/chips/polar-semiconductor-minnesota-bloomington),$525 million,"$525,000,000 ",166,98,68,$123 million,N/A,"Final Award (Sept. 24, 2024)"
SkyWater,"Bloomington, MN",Bloomington,MN,44.8322405,-93.3204872,Modernization,Semiconductors,90nm and 130nm foundry,https://www.nist.gov/chips/skywater-technology-minnesota-bloomington,[Source](https://www.nist.gov/chips/skywater-technology-minnesota-bloomington),Not Available,Not Available,70,Not Available,Not Available,$16 million,N/A,PMT (Dec. 6)
Brewer Science,"Vichy, MO",Vichy,MO,38.1114322,-91.7604389,Expansion,Materials,,https://www.brewerscience.com/news-vichy/,[Source](https://www.brewerscience.com/news-vichy/),Not Available,Not Available,Not Available,Not Available,,,,
GlobalWafers,"St. Peters, MO",St. Peters,MO,38.791612,-90.5958468,New Facility,Materials,300mm silicon-on-insulator wafers,https://www.nist.gov/chips/globalwafers-missouri-st-peters,[Source](https://www.nist.gov/chips/globalwafers-missouri-st-peters),$500 million,"$500,000,000 ",630,130,500,$20 million,N/A,"Final Award (Dec. 17, 2024)"
GlobalWafers,"O'Fallon, MO",O'Fallon,MO,38.7902503,-90.7033292,Expansion,Materials,,https://www.stltoday.com/news/local/stcharles/st-charles-county-plant-touts-expansion-aims-to-combat-global-semiconductor-shortage/article_b3568ee8-2a6e-11ee-a3ab-f78b87208585.html,[Source](https://www.stltoday.com/news/local/stcharles/st-charles-county-plant-touts-expansion-aims-to-combat-global-semiconductor-shortage/article_b3568ee8-2a6e-11ee-a3ab-f78b87208585.html),$300 million,"$300,000,000 ",100,100,,,,
Vacom,"Lewistown, MT",Lewistown,MT,47.0639275,-109.428213,New Facility,Equipment,,https://news.mt.gov/Governors-Office/Governor_Gianforte_Welcomes_90_Million_VACOM_Manufacturing_Plant_to_Lewistown,[Source](https://news.mt.gov/Governors-Office/Governor_Gianforte_Welcomes_90_Million_VACOM_Manufacturing_Plant_to_Lewistown),$90 million,"$90,000,000 ",500,500,,,,
MACOM,"Morrisville, NC",Morrisville,NC,35.824341,-78.8300321,Expansion/Modernization,Semiconductors,100mm GaN and GaAs; 150mm GaN,https://www.nist.gov/chips/macom-north-carolina-durham,[Source](https://www.nist.gov/chips/macom-north-carolina-durham),$345 million across 2 locations,"$172,500,000 ",410 across 2 locations,350 across 2 locations,60 across 2 locations,$70 million across 2 locations,N/A,"PMT (Jan. 14, 2025)"
Wolfspeed,"Siler City, NC",Siler City,NC,35.7234734,-79.4622431,New Facility,Semiconductors,Silicon carbide wafer manufacturing,https://www.nist.gov/chips/wolfspeed-north-carolina-siler-city,[Source](https://www.nist.gov/chips/wolfspeed-north-carolina-siler-city),$6 billion across 2 locations,"$5,000,000,000 ",5000 across 2 locations,2000 across 2 locations,3000 across 2 locations,$750 million across 2 locations,N/A,PMT (Oct. 15)
BAE Systems,"Nashua, NH",Nashua,NH,42.7656251,-71.4677032,Modernization,Semiconductors,Monolithic microwave integrated circuit (MMIC chips),https://www.nist.gov/chips/bae-systems-inc-new-hampshire-nashua,[Source](https://www.nist.gov/chips/bae-systems-inc-new-hampshire-nashua),$105 million,"$105,000,000 ",Not Available,24,Not Available,$35.5 million,N/A,"Final Award (Nov. 25, 2024)"
onsemi,"Hudson, NH",Hudson,NH,42.7654433,-71.4397167,Expansion,Semiconductors,,https://investor.onsemi.com/news-releases/news-release-details/onsemi-celebrates-expansion-silicon-carbide-production-facility,[Source](https://investor.onsemi.com/news-releases/news-release-details/onsemi-celebrates-expansion-silicon-carbide-production-facility),Not Available,Not Available,Not Available,Not Available,,,,
Intel,"Rio Rancho, NM",Rio Rancho,NM,35.4702448,-106.6329806,Modernization,Packaging,Advanced packaging,https://www.nist.gov/chips/intel-corporation-new-mexico-rio-rancho,[Source](https://www.nist.gov/chips/intel-corporation-new-mexico-rio-rancho),$4 billion,"$4,000,000,000 ",4300,1800,2500,$500 million,N/A,"Final Award (Nov. 26, 2024)"
Intel,"Rio Rancho, NM",Rio Rancho,NM,35.269381,-106.632819,Expansion,Packaging,,https://www.intel.com/content/www/us/en/newsroom/news/new-mexico-manufacturing.html ,[Source](https://www.intel.com/content/www/us/en/newsroom/news/new-mexico-manufacturing.html ),$3.5 billion,"$3,500,000,000 ",700,700,,,,
Rocket Lab (SolAero),"Albuquerque, NM",Albuquerque,NM,35.0841034,-106.650985,Expansion/Modernization,Semiconductors,Space-grade solar cells,https://www.nist.gov/chips/rocket-lab-new-mexico-albuquerque,[Source](https://www.nist.gov/chips/rocket-lab-new-mexico-albuquerque),$97.5 million,"$97,500,000 ",100,Not Available,Not Available,$23.9 million,N/A,"Final Award (Nov. 25, 2024)"
AMD,"Brighton, NY",Brighton,NY,43.1257954,-77.5687343,New Facility,Chip Design,design and validation of mixed-signal integrated circuits and packaging for processors,https://esd.ny.gov/esd-media-center/press-releases/governor-hochul-announces-establishment-world-class-amd-design-centers-new-york-state,[Source](https://esd.ny.gov/esd-media-center/press-releases/governor-hochul-announces-establishment-world-class-amd-design-centers-new-york-state),$3.3 million across 2 locations,"$1,650,000 ",165 across 2 locations,Not Available,,,,
AMD,"Fishkill, NY",Fishkill,NY,41.5355745,-73.898702,New Facility,Chip Design,design and validation of mixed-signal integrated circuits and packaging for processors,https://esd.ny.gov/esd-media-center/press-releases/governor-hochul-announces-establishment-world-class-amd-design-centers-new-york-state,[Source](https://esd.ny.gov/esd-media-center/press-releases/governor-hochul-announces-establishment-world-class-amd-design-centers-new-york-state),$3.3 million across 2 locations,"$1,650,000 ",165 across 2 locations,Not Available,,,,
Corning,"Canton, NY",Canton,NY,44.5956163,-75.1690942,Expansion,Materials,HPFS Fused Silica (High Purity Fused Silica) (HPFS) and EXTREME ULE Glass (Ultra Low Expansion Glass,https://www.nist.gov/chips/corning-new-york-canton,[Source](https://www.nist.gov/chips/corning-new-york-canton),$315 million,"$315,000,000 ",305,130,175,$32 million,N/A,"Final Award (Jan. 17, 2025)"
Corning,"Monroe County, NY",Monroe County,NY,43.0993,-77.443014,Expansion,Materials,,https://www.governor.ny.gov/news/governor-hochul-announces-corning-incorporateds-139-million-investment-grow-operations-monroe ,[Source](https://www.governor.ny.gov/news/governor-hochul-announces-corning-incorporateds-139-million-investment-grow-operations-monroe ),$139 million,"$139,000,000 ",270,270,,,,
Edwards Vacuum,"Basom, NY",Basom,NY,43.0672812,-78.3914111,New Facility,Equipment,Semiconductor-grade dry vacuum pumps,https://www.nist.gov/chips/edwards-vacuum-new-york-genesee-county,[Source](https://www.nist.gov/chips/edwards-vacuum-new-york-genesee-county),$319 million,"$319,000,000 ",600,Not Available,Not Available,$18 million,N/A,"Final Award (Jan. 17, 2025)"
GlobalFoundries,"Malta, NY",Malta,NY,42.9711708,-73.792926,New/Expansion,Semiconductors,"300mm current-generation and mature-node, advanced packaging",https://gf.com/gf-press-release/globalfoundries-announces-16b-u-s-investment-to-reshore-essential-chip-manufacturing-and-accelerate-ai-growth/,[Source](https://gf.com/gf-press-release/globalfoundries-announces-16b-u-s-investment-to-reshore-essential-chip-manufacturing-and-accelerate-ai-growth/),$15.1 billion,"$15,100,000,000 ",9100,1100,8000,$1.45 billion,N/A,"Final Award (Nov. 20, 2024) - Amended (Jan. 17, 2025)"
Menlo Microsystems,"Lansing, NY",Lansing,NY,42.4840418,-76.4779117,New Facility,Semiconductors,,https://www.syracuse.com/politics/cny/2023/07/central-new-york-lands-50m-microchip-plant-that-will-create-122-jobs.html,[Source](https://www.syracuse.com/politics/cny/2023/07/central-new-york-lands-50m-microchip-plant-that-will-create-122-jobs.html),$50 million,"$50,000,000 ",122,122,,,,
Micron,"Clay, NY",Clay,NY,43.186621,-76.2065431,New Facility,Semiconductors,Leading-edge DRAM,https://www.nist.gov/chips/micron-new-york-clay,[Source](https://www.nist.gov/chips/micron-new-york-clay),$100 billion,"$100,000,000,000 ",13500,9000,4500,$4.6 billion,N/A,"Final Award (Dec. 10, 2024)"
"NY CREATES (Partners: IBM, Micron, Applied Materials, Tokyo Electron)","Albany, NY",Albany,NY,42.6511674,-73.754968,Expansion,R&D Facility,,https://www.governor.ny.gov/news/governor-hochul-announces-10-billion-partnership-bring-next-generation-research-and,[Source](https://www.governor.ny.gov/news/governor-hochul-announces-10-billion-partnership-bring-next-generation-research-and),$10 billion ($1 billion from NY State),"$10,000,000,000 ",700,700,,,,
onsemi,"East Fishkill, NY",East Fishkill,NY,41.5533306,-73.7956214,Expansion,Semiconductors,,https://investor.onsemi.com/news-releases/news-release-details/onsemi-commemorates-transfer-ownership-east-fishkill-new-york,[Source](https://investor.onsemi.com/news-releases/news-release-details/onsemi-commemorates-transfer-ownership-east-fishkill-new-york),$1.3 billion,"$1,300,000,000 ",100,100,,,,
TTM Technologies,"DeWitt, NY",DeWitt,NY,43.0386776,-76.0729775,New Facility,Materials,,https://spectrumlocalnews.com/nys/central-ny/news/2023/11/01/ttm-announces-plant-dewit,[Source](https://spectrumlocalnews.com/nys/central-ny/news/2023/11/01/ttm-announces-plant-dewit),$130 million,"$130,000,000 ",400,400,,,,
Wolfspeed,"Marcy, NY",Marcy,NY,43.1314472,-75.2557144,Expansion,Semiconductors,Fully automated 200mm silicon carbide power devices,https://www.nist.gov/chips/wolfspeed-new-york-marcy,[Source](https://www.nist.gov/chips/wolfspeed-new-york-marcy),$6 billion across 2 locations,"$1,000,000,000 ",5000 across 2 locations,2000 across 2 locations,3000 across 2 locations,$750 million across 2 locations,N/A,PMT (Oct. 15)
Chemtrade,"Cairo, OH",Cairo,OH,40.8319737,-84.0818775,Expansion,Materials,,https://www.hometownstations.com/news/allen_county/chemtrade-breaks-ground-on-50-million-dollar-expansion-in-allen-county/article_617f5e28-7818-11ed-8894-83cd67500974.html,[Source](https://www.hometownstations.com/news/allen_county/chemtrade-breaks-ground-on-50-million-dollar-expansion-in-allen-county/article_617f5e28-7818-11ed-8894-83cd67500974.html),$50 million,"$50,000,000 ",Not Available,Not Available,,,,
Intel,"New Albany, OH",New Albany,OH,40.0811745,-82.8087864,New Facility,Semiconductors,"Leading-edge logic, including Intel 14A and other future Intel nodes",https://www.nist.gov/chips/intel-corporation-ohio-new-albany,[Source](https://www.nist.gov/chips/intel-corporation-ohio-new-albany),$28 billion,"$28,000,000,000 ",10000,3000 (1500 supported by CHIPS),7000 (5000 supported by CHIPS),$1.5 billion,N/A,"Final Award (Nov. 26, 2024)"
Tosoh SMD,"Grove City, OH",Grove City,OH,39.8814519,-83.0929645,Expansion,Materials,,https://www.sciotopost.com/tosoh-manufacturing-proposes-major-expansion-in-grove-city/,[Source](https://www.sciotopost.com/tosoh-manufacturing-proposes-major-expansion-in-grove-city/),$20 million,"$20,000,000 ",50,50,,,,
Analog Devices,"Beaverton, OR",Beaverton,OR,45.4871723,-122.80378,Expansion/Modernization,Semiconductors,180nm and 350nm analog,https://www.nist.gov/chips/analog-devices-inc-oregon-beaverton,[Source](https://www.nist.gov/chips/analog-devices-inc-oregon-beaverton),$1 billion,"$1,000,000,000 ",Not Available,500 across 3 locations,Not Available,$105 million across 3 locations,N/A,"PMT (Jan. 16, 2025)"
HP,"Corvallis, OR",Corvallis,OR,44.5645659,-123.2620435,Expansion/Modernization,Semiconductors,Microfluidics and microelectromechanical systems (MEMS),https://www.nist.gov/chips/hp-inc-oregon-corvallis,[Source](https://www.nist.gov/chips/hp-inc-oregon-corvallis),Not Available,Not Available,250,150,100,$53 million,N/A,"Final Award (Jan. 13, 2025)"
Intel,"Hillsboro, OR",Hillsboro,OR,45.5228939,-122.989827,Expansion/Modernization,Semiconductors,Leading-edge logic technology development,https://www.nist.gov/chips/intel-corporation-oregon-hillsboro,[Source](https://www.nist.gov/chips/intel-corporation-oregon-hillsboro),$36 billion,"$36,000,000,000 ",5700,2200 (500 supported by CHIPS),3500 (2000 supported by CHIPS),$1.86 billion,N/A,"Final Award (Nov. 26, 2024)"
Microchip Technology,"Gresham, OR",Gresham,OR,45.4978623,-122.4329883,Modernization,Semiconductors,Microcontrollers and speciality mature-node semiconductors ,https://www.nist.gov/chips/microchip-technology-inc-oregon-gresham,[Source](https://www.nist.gov/chips/microchip-technology-inc-oregon-gresham),Not Available,Not Available,700 across 2 locations,Not Available,Not Available,$72 million,N/A,PMT (Jan. 4)
Mitsubishi Gas Chemicals,"Forest Grove, OR",Forest Grove,OR,45.5197452,-123.1114405,Expansion,Materials,,https://asia.nikkei.com/Business/Materials/After-CHIPS-Act-Japanese-supplier-to-triple-U.S.-semiconductor-chemical-output,[Source](https://asia.nikkei.com/Business/Materials/After-CHIPS-Act-Japanese-supplier-to-triple-U.S.-semiconductor-chemical-output),$372 million,"$372,000,000 ",Not Available,Not Available,,,,
Rogue Valley Microdevices,"Medford, OR",Medford,OR,42.3264181,-122.8718605,New Facility,Semiconductors,,Gartner Fab Database,Gartner Fab Database,$44 million,"$44,000,000 ",Not Available,Not Available,,,,
Coherent,"Easton, PA",Easton,PA,40.6916081,-75.2099866,Expansion/Modernization,Materials,150mm and 200mm SiC substrates,https://www.nist.gov/chips/coherent-pennsylvania-easton,[Source](https://www.nist.gov/chips/coherent-pennsylvania-easton),Not Available,Not Available,380,320,40,$79 million,N/A,"PMT (Jan. 16, 2025)"
EMD,"Hometown, PA",Hometown,PA,40.823699,-75.980205,Expansion,Materials,,emdgroup.com/en/news/gases-facility-in-hometown-12-04-2023.html,[Source](emdgroup.com/en/news/gases-facility-in-hometown-12-04-2023.html),$300 million,"$300,000,000 ",68,68,,,,
Infinera,"Bethlehem, PA",Bethlehem,PA,40.6178915,-75.3786521,New Facility,Packaging,Advanced test and packaging of Indium Phosphide photonic integrated circuits,https://www.nist.gov/chips/infinera-pennsylvania-bethlehem,[Source](https://www.nist.gov/chips/infinera-pennsylvania-bethlehem),Not Available,Not Available,1700 across 2 locations,500 across 2 locations,1200 across 2 locations,$93 million across 2 locations,N/A,"Final Award (Jan. 17, 2025)"
Powerex,"Youngwood, PA",Youngwood,PA,40.240348,-79.5767066,Expansion/Modernization,Packaging,Packaging of semiconductor power modules,https://www.nist.gov/chips/powerex-pennsylvania-youngwood,[Source](https://www.nist.gov/chips/powerex-pennsylvania-youngwood),$15 million,"$15,000,000 ",75,55,20,$3 million,N/A,PMT (Nov. 8)
Coherent,"Sherman, TX",Sherman,TX,33.6533,-96.2147,Expansion/Modernization,Semiconductors,150mm Indium Phosphide Optoelectronics,https://www.nist.gov/chips/coherent-texas-sherman,[Source](https://www.nist.gov/chips/coherent-texas-sherman),Not Available,Not Available,70,Not Available,Not Available,$33 million,N/A,PMT (Dec. 6)
Dongjin Semichem,"Killeen, TX",Killeen,TX,31.1171441,-97.727796,Expansion,Materials,electronic-level sulfuric acid (ELSA),https://gov.texas.gov/es/news/post/governor-abbott-announces-texas-semiconductor-innovation-fund-grant-to-dsm,[Source](https://gov.texas.gov/es/news/post/governor-abbott-announces-texas-semiconductor-innovation-fund-grant-to-dsm),$176 million,"$176,000,000 ",40,Not Available,,,,
FormFactor,"Farmers Branch, TX",Farmers Branch,TX,32.9265668,-96.8960916,Expansion,Equipment,Test & measurement,https://www.formfactor.com/press-release/formfactor-inc-announces-purchase-of-new-manufacturing-facility/,[Source](https://www.formfactor.com/press-release/formfactor-inc-announces-purchase-of-new-manufacturing-facility/),$55 million,"$55,000,000 ",Not Available,Not Available,,,,
GlobalWafers,"Sherman, TX",Sherman,TX,33.2533,-96.3147,New Facility,Materials,300mm silicon wafers,https://www.ci.sherman.tx.us/CivicAlerts.aspx?AID=454,[Source](https://www.ci.sherman.tx.us/CivicAlerts.aspx?AID=454),$7.5 billion,"$7,500,000,000 ",1950,750,1200,$380 million,N/A,"Final Award (Dec. 17, 2024)"
Infineon/SkyWater,"Austin, TX",Austin,TX,30.3711286,-97.8436995,Modernization,Semiconductors,,https://www.linkedin.com/posts/rutger-wijburg-65771010_decarbonization-digitalization-activity-7162816413022326785-zUaE,[Source](https://www.linkedin.com/posts/rutger-wijburg-65771010_decarbonization-digitalization-activity-7162816413022326785-zUaE),Not Available,Not Available,Not Available,Not Available,,,,
IntelliEPI,"Allen, TX",Allen,TX,33.1031744,-96.6705503,Expansion/Modernization,Materials,"Compound wafers (InP, GaAs, GaSb, GaN)",https://www.nist.gov/chips/intelliepi-texas-allen,[Source](https://www.nist.gov/chips/intelliepi-texas-allen),Not Available,Not Available,56,40,16,$10.3 million,N/A,"PMT (Jan. 16, 2025)"
MGC Pure Chemicals,"Killeen, TX",Killeen,TX,31.1871441,-97.787796,Expansion,Materials,super pure hydrogen peroxide and ammonium hydroxide used as cleaning agents,https://gov.texas.gov/news/post/governor-abbott-announces-texas-semiconductor-innovation-grant-to-mgc-pure-chemicals-america-inc,[Source](https://gov.texas.gov/news/post/governor-abbott-announces-texas-semiconductor-innovation-grant-to-mgc-pure-chemicals-america-inc),$150 million,"$150,000,000 ",Not Available,Not Available,,,,
NXP,"Austin, TX",Austin,TX,30.2711286,-97.7436995,Expansion,Semiconductors,,https://www.kxan.com/news/local/austin/austin-city-council-approves-development-agreement-with-semiconductor-company/,[Source](https://www.kxan.com/news/local/austin/austin-city-council-approves-development-agreement-with-semiconductor-company/),$290.8 million,"$290,800,000 ",53,53,,,,
Samsung,"Taylor, TX",Taylor,TX,30.5702,-97.4097,New Facility,Semiconductors,"Leading-edge logic, including 4nm and 2nm, and R&D",https://www.nist.gov/chips/samsung-electronics-texas-taylor,[Source](https://www.nist.gov/chips/samsung-electronics-texas-taylor),$37 billion across 2 locations,"$37,000,000,000 ",15500 across 2 locations,3500 across 2 locations,12000 across 2 locations,$4.745 billion across 2 locations,N/A,"Final Award (Dec. 20, 2024)"
Samsung,"Austin, TX",Austin,TX,30.2711286,-97.7436995,Expansion,Semiconductors,Fully depleted silicon-on-insulator (FD-SOI) process technologies,https://www.nist.gov/chips/samsung-electronics-texas-austin,[Source](https://www.nist.gov/chips/samsung-electronics-texas-austin),$37 billion across 2 locations,Not Available,15500 across 2 locations,3500 across 2 locations,12000 across 2 locations,$4.745 billion across 2 locations,N/A,"Final Award (Dec. 20, 2024)"
Schunk Xycarb,"Georgetown, TX",Georgetown,TX,30.6370152,-97.6775634,New Facility,Materials,,https://www.bizjournals.com/austin/news/2023/08/29/schunk-xycarb-samsung-expansion-georgetown-austin.html,[Source](https://www.bizjournals.com/austin/news/2023/08/29/schunk-xycarb-samsung-expansion-georgetown-austin.html),Not Available,Not Available,Not Available,Not Available,,,,
Silicon Labs,"Austin, TX",Austin,TX,30.5211286,-97.6936995,New Facility,Chip Design,,https://gov.texas.gov/es/news/post/governor-abbott-announces-texas-semiconductor-innovation-fund-grant-to-silicon-labs,[Source](https://gov.texas.gov/es/news/post/governor-abbott-announces-texas-semiconductor-innovation-fund-grant-to-silicon-labs),$80 million,"$80,000,000 ",Not Available,Not Available,,,,
Soulbrain,"Taylor, TX",Taylor,TX,30.7929,-97.5967,New Facility,Materials,,https://www.statesman.com/story/news/local/2024/07/29/samsung-semiconductors-plant-taylor-texas-south-korean-company-soulbrain-tx-llc-invest/74562610007/,[Source](https://www.statesman.com/story/news/local/2024/07/29/samsung-semiconductors-plant-taylor-texas-south-korean-company-soulbrain-tx-llc-invest/74562610007/),$175 million,"$175,000,000 ",50,50,,,,
SpaceX,"Bastrop, TX",Bastrop,TX,30.0541116,-97.3887764,Expansion,Packaging,"printed circuit boards (PCBs), a semiconductor failure analysis lab, and advanced packaging for panel level packaging (PLP)",https://gov.texas.gov/news/post/governor-abbott-announces-texas-semiconductor-innovation-fund-grant-to-spacex,[Source](https://gov.texas.gov/news/post/governor-abbott-announces-texas-semiconductor-innovation-fund-grant-to-spacex),$280 million,"$280,000,000 ",Not Available,Not Available,,,,
Sumika (Sumitomo Chemical),"Baytown, TX",Baytown,TX,29.7355047,-94.9774274,New Facility,Materials,Ultra-high purity isopropyl alcohol,https://www.nist.gov/chips/sumika-texas-baytown,[Source](https://www.nist.gov/chips/sumika-texas-baytown),Not Available,Not Available,293,43,250,$52.1 million,N/A,"PMT (Jan. 16, 2025)"
Texas Instruments,"Sherman, TX",Sherman,TX,33.5533,-96.6147,New Facility,Semiconductors,"300mm fabrication of 65nm-130nm ""essential"" chips",https://www.ti.com/about-ti/newsroom/news-releases/2025/texas-instruments-plans-to-invest-more-than--60-billion-to-manufacture-billions-of-foundational-semiconductors-in-the-us.html,[Source](https://www.ti.com/about-ti/newsroom/news-releases/2025/texas-instruments-plans-to-invest-more-than--60-billion-to-manufacture-billions-of-foundational-semiconductors-in-the-us.html),$40 billion,"$40,000,000,000 ",23800 across 2 locations,3000 (1500 supported by CHIPS),20000 across 2 locations,$900 million,N/A,"Final Award (Dec. 20, 2024)"
Texas Instruments,"Richardson, TX",Richardson,TX,32.9481789,-96.7297206,Expansion,Semiconductors,,https://www.ti.com/about-ti/company/ti-at-a-glance/manufacturing/richardson.html,[Source](https://www.ti.com/about-ti/company/ti-at-a-glance/manufacturing/richardson.html),$6 billion,"$6,000,000,000 ",800,800,,,,
Tokyo Electron,"Austin, TX",Austin,TX,30.4711286,-97.6436995,Expansion,Equipment,technical training and research and development (R&D) ,https://gov.texas.gov/es/news/post/governor-abbott-announces-texas-semiconductor-innovation-fund-grant-to-tokyo-electron-u.s-holdings-inc,[Source](https://gov.texas.gov/es/news/post/governor-abbott-announces-texas-semiconductor-innovation-fund-grant-to-tokyo-electron-u.s-holdings-inc),$30 million,"$30,000,000 ",Not Available,Not Available,,,,
X-FAB,"Lubbock, TX",Lubbock,TX,33.5855677,-101.8470215,Expansion/Modernization,Semiconductors,Silicon carbide foundry,https://www.nist.gov/chips/x-fab-texas-lubbock,[Source](https://www.nist.gov/chips/x-fab-texas-lubbock),$200 million,"$200,000,000 ",150,Not Available,Not Available,$50 million,N/A,PMT (Dec. 6)
Air Liquide,"Southeast, US (To be Announced)",Southeast (TBA),US,34.0282,-88.1700,New Facility,Materials,ultra-pure nitrogen and oxygen,https://www.airliquide.com/group/press-releases-news/2025-07-15/air-liquide-invests-strengthen-supply-growing-us-semiconductor-industry,[Source](https://www.airliquide.com/group/press-releases-news/2025-07-15/air-liquide-invests-strengthen-supply-growing-us-semiconductor-industry),$50 million,"$50,000,000 ",Not Available,Not Available,,,,
Texas Instruments,"Lehi, UT",Lehi,UT,40.3881114,-112.8486019,New Facility,Semiconductors,300mm fabrication of 28nm-65nm analog and embedded processing chips,https://www.nist.gov/chips/texas-instruments-utah-lehi,[Source](https://www.nist.gov/chips/texas-instruments-utah-lehi),$11 billion,"$11,000,000,000 ",23800 across 2 locations,800,20000 across 2 locations,$700 million,N/A,"Final Award (Dec. 20, 2024)"
Micron,"Manassas, VA",Manassas,VA,38.7509488,-77.4752667,Modernization,Semiconductors,"Legacy DRAM, 1-aplha node technology",https://www.nist.gov/chips/micron-virginia-manassas,[Source](https://www.nist.gov/chips/micron-virginia-manassas),$2 billion,"$2,000,000,000 ",Not Available,400,Not Available,$275 million,N/A,"Final Award (June 12, 2025)"
GlobalFoundries,"Essex Junction, VT",Essex Junction,VT,44.4906817,-73.11136,Modernization,Semiconductors,200mm Gallium Nitride and Silicon Germanium,https://www.nist.gov/chips/globalfoundries-vermont-burlington,[Source](https://www.nist.gov/chips/globalfoundries-vermont-burlington),$900 million,"$900,000,000 ",1000,N/A,1000,$125 million,N/A,"Final Award (Nov. 20, 2024)"
Analog Devices,"Camas, WA",Camas,WA,45.5863014,-122.403277,Expansion/Modernization,Semiconductors,180nm and 350nm analog,https://www.nist.gov/chips/analog-devices-inc-washington-camas,[Source](https://www.nist.gov/chips/analog-devices-inc-washington-camas),Not Available,Not Available,Not Available,500 across 3 locations,Not Available,$105 million across 3 locations,N/A,"PMT (Jan. 16, 2025)"
