"Manufacturing, industrial, and energy facility metadata"

version:,2025_Q4.20260109.0
created:,Fri Jan  9 12:47:14 2026 (PST)
unique_id,Segment,Company,Technology,Subcategory,Decarb_Sector,Project_Type,Current_Facility_Status,Estimated_Total_Facility_CAPEX,Announcement_Date,State,Address,CD119_2024,CD119_2024_Name,US Senator 1: Name,US Senator 1: Party,US Senator 2: Name,US Senator 2: Party,US Representative Name,US Representative Party,county_2020_fips_code,county_2020_geoid,census_tract_2020_id,census_tract_2020_geoid,census_tract_2020_name,county_2010_fips_code,county_2010_geoid,census_tract_2010_id,census_tract_2010_geoid,census_tract_2010_name,census_2022_zip5,Latitude,Longitude,LatLon_Valid
M.B.AmericanLithium_CA_0,Manufacturing,American Lithium Energy,Batteries,"Cells, Modules",Clean Tech Manufacturing,Expansion,Operating,13.466164,2023-03-02,CA,"2261 Rutherford Rd, Carlsbad, CA 92008",649.0,CA-49,Alex Padilla,Democratic,Adam Schiff,Democratic,Mike Levin,Democratic,73.0,6073.0,22101.0,6073022101.0,Census Tract 221.01,73.0,6073.0,22100.0,6073022100.0,Census Tract 221,92008.0,33.131762,-117.275934,True
M.B.Amprius_CO_0,Manufacturing,Amprius Technologies,Batteries,Cells,Clean Tech Manufacturing,New,Canceled prior to operation,193.831144,2023-03-06,CO,"18875 E Bromley Ln, Brighton, CO 80601",808.0,CO-08,Michael Bennet,Democratic,John Hickenlooper,Democratic,Gabe Evans,Republican,1.0,8001.0,8563.0,8001008563.0,Census Tract 85.63,1.0,8001.0,8542.0,8001008542.0,Census Tract 85.42,80601.0,39.97624,-104.764166,True
M.B.Anovion_NY_0,Manufacturing,Anovion Technologies,Batteries,EAM,Clean Tech Manufacturing,Expansion,Operating,424.274987,2022-10-19,NY,"3400 Raymond Rd, Sanborn, NY  14132",3626.0,NY-26,Kirsten Gillibrand,Democratic,Chuck Schumer,Democratic,Timothy M. Kennedy,Democratic,63.0,36063.0,22717.0,36063022717.0,Census Tract 227.17,63.0,36063.0,22711.0,36063022711.0,Census Tract 227.11,14132.0,43.132,-78.86,True
M.B.Anovion_GA_0,Manufacturing,Anovion Technologies,Batteries,EAM,Clean Tech Manufacturing,New,Announced,816.631057,2023-05-15,GA,"511 Pine Ave, Albany, GA  31701",1302.0,GA-02,Jon Ossoff,Democratic,Raphael Warnock,Democratic,Sanford Bishop Jr.,Democratic,95.0,13095.0,11400.0,13095011400.0,Census Tract 114,95.0,13095.0,11400.0,13095011400.0,Census Tract 114,31701.0,31.579,-84.16,True
M.B.AppliedMaterials_NC_0,Manufacturing,Applied Materials,Batteries,EAM,Clean Tech Manufacturing,New,Canceled prior to operation,231.235029,2022-10-19,NC,"3030 Horseshoe Ln, Charlotte, NC 28208",3712.0,NC-12,Ted Budd,Republican,Thom Tillis,Republican,Alma Adams,Democratic,119.0,37119.0,3903.0,37119003903.0,Census Tract 39.03,119.0,37119.0,3903.0,37119003903.0,Census Tract 39.03,28208.0,35.198379,-80.927248,True
M.B.Aqualith_MD_0,Manufacturing,Aqualith Advanced Materials,Batteries,EAM,Clean Tech Manufacturing,New,Operating,0.835329,2021-09-08,MD,"4467 Technology Dr, College Park, MD 20742",2404.0,MD-04,Angela Alsobrooks,Democratic,Chris Van Hollen,Democratic,Glenn Ivey,Democratic,33.0,24033.0,980000.0,24033980000.0,Census Tract 9800,33.0,24033.0,807200.0,24033807200.0,Census Tract 8072,20742.0,38.992705,-76.938532,True
M.B.Arrival_NC_0,Manufacturing,Arrival,Batteries,Modules,Clean Tech Manufacturing,New,Canceled prior to operation,12.597763,2021-12-06,NC,"330 W Tremont Ave, Charlotte, NC 28203",3712.0,NC-12,Ted Budd,Republican,Thom Tillis,Republican,Alma Adams,Democratic,119.0,37119.0,3600.0,37119003600.0,Census Tract 36,119.0,37119.0,3600.0,37119003600.0,Census Tract 36,28203.0,35.212856,-80.865612,True
M.B.Ascend_KY_0,Manufacturing,Ascend Elements,Batteries,EAM,Clean Tech Manufacturing,New,Under Construction,107.446797,2022-08-01,KY,"2000 Harrison St, Hopkinsville, KY  42240",2101.0,KY-01,Mitch McConnell,Republican,Rand Paul,Republican,James Comer Jr.,Republican,47.0,21047.0,200100.0,21047200100.0,Census Tract 2001,47.0,21047.0,200100.0,21047200100.0,Census Tract 2001,42240.0,36.855,-87.49,True
M.B.BlueCurrent_CA_0,Manufacturing,Blue Current,Batteries,Cells,Clean Tech Manufacturing,New,Under Construction,10.574377,2022-04-06,CA,"3906 Trust Way, Hayward, CA 94545",614.0,CA-14,Alex Padilla,Democratic,Adam Schiff,Democratic,Eric Swalwell,Democratic,1.0,6001.0,437101.0,6001437101.0,Census Tract 4371.01,1.0,6001.0,437101.0,6001437101.0,Census Tract 4371.01,94545.0,37.62309,-122.12359,True
M.B.BlueOval_KY_0,Manufacturing,BlueOvalSK (JV of Ford and SK On),Batteries,"Cells, Modules",Clean Tech Manufacturing,New,Operating,3229.939017,2021-09-27,KY,"1 BlueOval, Glendale, KY 42740",2102.0,KY-02,Mitch McConnell,Republican,Rand Paul,Republican,Brett Guthrie,Republican,93.0,21093.0,1603.0,21093001603.0,Census Tract 16.03,93.0,21093.0,1600.0,21093001600.0,Census Tract 16,42740.0,37.59489,-85.87652,True
